iter	Logloss
0	0.6817999967
1	0.6713015296
2	0.6611644856
3	0.6527461698
4	0.6453675976
5	0.6371477927
6	0.6275297711
7	0.6182556182
8	0.6101367817
9	0.601619853
10	0.5945209196
11	0.5873040157
12	0.5811929078
13	0.5739949137
14	0.5669386866
15	0.5620015191
16	0.556217677
17	0.5499720204
18	0.5448040591
19	0.5401859596
20	0.5352504893
21	0.530976815
22	0.5257676974
23	0.520749381
24	0.5151701948
25	0.5111472042
26	0.5056838142
27	0.5017320435
28	0.4963400624
29	0.4911778695
30	0.4874743342
31	0.4843379557
32	0.4804746928
33	0.4759120559
34	0.4723673093
35	0.4683138564
36	0.4645278336
37	0.4614455682
38	0.4578978564
39	0.4548207334
40	0.4518881358
41	0.4491411896
42	0.4456877496
43	0.4436163835
44	0.440304329
45	0.4382591111
46	0.4354113078
47	0.4327333903
48	0.4297708825
49	0.4277340367
50	0.4250549126
51	0.4229184049
52	0.4213483308
53	0.4187750572
54	0.4166052161
55	0.4140491156
56	0.4123323159
57	0.4103935402
58	0.4095450921
59	0.4075059722
60	0.4052521784
61	0.4038792974
62	0.4017121821
63	0.4005687677
64	0.3986050146
65	0.3965969614
66	0.3953938058
67	0.3936364772
68	0.3925186005
69	0.3913033714
70	0.3894152922
71	0.3876843718
72	0.3861343083
73	0.3847093193
74	0.3838476682
75	0.3826107305
76	0.3811278596
77	0.3800607949
78	0.378827611
79	0.3777734582
80	0.3764996598
81	0.3756486979
82	0.374343788
83	0.373346552
84	0.3720888019
85	0.3710932392
86	0.3698085825
87	0.3688347881
88	0.3675720799
89	0.3661274977
90	0.3647689391
91	0.3639837768
92	0.3631662043
93	0.3620510932
94	0.3613074527
95	0.3602001251
96	0.3593167984
97	0.3586402619
98	0.3577523907
99	0.3572720861
100	0.3562773278
101	0.3558165478
102	0.3551026601
103	0.3542759228
104	0.3532500583
105	0.3523246636
106	0.3514264973
107	0.3506158925
108	0.3499762645
109	0.3491934867
110	0.3487294449
111	0.3482145613
112	0.3474184088
113	0.3469610381
114	0.346182123
115	0.3454530488
116	0.3449941259
117	0.3448725138
118	0.3442519012
119	0.3437012124
120	0.3431658217
121	0.3423969937
122	0.3422520317
